ID_PIECE;ORDRE_PRODUCTION;SCENARIO;DATE_FABRICATION;ID_UPPER;ID_LOWER;LOT_PREIMPREGNE;LOT_ADHESIF;MOULE_UPPER;MOULE_LOWER;OPERATEUR_DRAPAGE;OPERATEUR_ASSEMBLAGE;CYCLE_CUISSON;PRESSION_VIDE_ABS_MBAR;TEMP_MAX_C;TEMPS_MAINTIEN_MIN;TEMP_DEMOULAGE_C;RATIO_ADHESIF;TEMPS_OUVERT_MIN;EPAISSEUR_MOY_MM;PLANEITE_ENTREE_MM;PLANEITE_SORTIE_MM;DIAMETRE_TROU_MOY_MM;ECART_PROFIL_MAX_MM;ECART_POSITION_TROUS_MAX_MM;PRESSION_TEST_KPA;DUREE_TEST_S;TAUX_FUITE;JOINT_CONTINU_CONFORME;DEFAUT_PRINCIPAL;NB_DEFAUTS;STATUT_FINAL;COMMENTAIRE
DAI-0085;85;AMELIORE;30/03/2026;UP-0085;LO-0085;PRE-05;ADH-04;MU-01;ML-01;OP-D01;OP-A01;CYC-017;78,6;121,2;92;52,3;1,013;25,1;2;0,23;0,17;6,51;0,4;0,29;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0086;86;AMELIORE;31/03/2026;UP-0086;LO-0086;PRE-05;ADH-04;MU-02;ML-02;OP-D02;OP-A02;CYC-018;66,2;121,2;91,7;57,1;1,004;30;1,92;0,3;0,19;6,54;0,38;0,29;20;60;0,12;OUI;AUCUN;0;CONFORME;
DAI-0087;87;AMELIORE;01/04/2026;UP-0087;LO-0087;PRE-05;ADH-04;MU-01;ML-01;OP-D03;OP-A01;CYC-018;83,7;120,8;90,7;54,1;1,002;27,2;1,95;0,24;0,19;6,48;0,43;0,21;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0088;88;AMELIORE;02/04/2026;UP-0088;LO-0088;PRE-05;ADH-04;MU-02;ML-02;OP-D01;OP-A02;CYC-018;82,8;121,1;88;56,1;0,996;26,3;2,04;0,26;0,17;6,51;0,52;0,15;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0089;89;AMELIORE;03/04/2026;UP-0089;LO-0089;PRE-05;ADH-04;MU-01;ML-01;OP-D02;OP-A01;CYC-018;76,6;121,6;89;54,1;0,992;25,4;2,03;0,28;0,24;6,54;0,21;0,27;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0090;90;AMELIORE;04/04/2026;UP-0090;LO-0090;PRE-05;ADH-04;MU-02;ML-02;OP-D03;OP-A02;CYC-018;77,5;120,6;91,6;57,6;0,995;21,4;2,05;0,33;0,19;6,52;0,43;0,23;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0091;91;AMELIORE;05/04/2026;UP-0091;LO-0091;PRE-05;ADH-04;MU-01;ML-01;OP-D01;OP-A01;CYC-019;73,1;120,6;88,3;52,4;0,997;25,6;1,96;0,16;0,19;6,54;0,53;0,23;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0092;92;AMELIORE;06/04/2026;UP-0092;LO-0092;PRE-05;ADH-04;MU-02;ML-02;OP-D02;OP-A02;CYC-019;81,4;120,2;89,6;53,9;1,007;26,7;2,04;0,32;0,16;6,54;0,29;0,17;20;60;0,17;OUI;AUCUN;0;CONFORME;
DAI-0093;93;AMELIORE;07/04/2026;UP-0093;LO-0093;PRE-05;ADH-04;MU-01;ML-01;OP-D03;OP-A01;CYC-019;81,5;120,2;88;52,9;1,013;25,4;1,97;0,23;0,19;6,54;0,33;0,24;20;60;0,22;OUI;AUCUN;0;CONFORME;
DAI-0094;94;AMELIORE;08/04/2026;UP-0094;LO-0094;PRE-05;ADH-04;MU-02;ML-02;OP-D01;OP-A02;CYC-019;65,8;121,1;89,1;54,8;0,989;24,5;2,05;0,12;0,13;6,5;0,37;0,18;20;60;0,25;NON;COLLAGE;1;NON CONFORME;Critères hors limite : COLLAGE
DAI-0095;95;AMELIORE;09/04/2026;UP-0095;LO-0095;PRE-05;ADH-04;MU-01;ML-01;OP-D02;OP-A01;CYC-019;66,1;120,8;90;53,9;1,007;26,5;1,94;0,24;0,15;6,46;0,38;0,17;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0096;96;AMELIORE;10/04/2026;UP-0096;LO-0096;PRE-05;ADH-04;MU-02;ML-02;OP-D03;OP-A02;CYC-020;79;121;88,5;58,1;0,986;27,1;1,95;0,25;0,17;6,49;0,36;0,14;20;60;0,21;OUI;AUCUN;0;CONFORME;
DAI-0097;97;AMELIORE;11/04/2026;UP-0097;LO-0097;PRE-05;ADH-04;MU-01;ML-01;OP-D01;OP-A01;CYC-020;66,9;121,2;88,4;58,3;1,008;20,6;2,02;0,28;0,19;6,46;0,4;0,33;20;60;0,17;OUI;AUCUN;0;CONFORME;
DAI-0098;98;AMELIORE;12/04/2026;UP-0098;LO-0098;PRE-05;ADH-04;MU-02;ML-02;OP-D02;OP-A02;CYC-020;64,9;121,5;90,1;52,9;0,997;25,8;1,96;0,26;0,22;6,5;0,29;0,26;20;60;0,02;OUI;AUCUN;0;CONFORME;
DAI-0099;99;AMELIORE;13/04/2026;UP-0099;LO-0099;PRE-05;ADH-04;MU-01;ML-01;OP-D03;OP-A01;CYC-020;78;120,9;90,8;55,3;0,99;25,1;2,01;0,17;0,16;6,5;0,28;0,23;20;60;0,22;OUI;AUCUN;0;CONFORME;
DAI-0100;100;AMELIORE;14/04/2026;UP-0100;LO-0100;PRE-05;ADH-04;MU-02;ML-02;OP-D01;OP-A02;CYC-020;65;120,6;88,2;53,1;0,991;24,3;1,96;0,27;0,2;6,5;0,39;0,22;20;60;0,05;OUI;AUCUN;0;CONFORME;
